Year,Month,Day,Price,Type
2011,9,30,3300,2
2011,10,4,3100,2
2011,10,7,3300,2
2011,10,12,3100,2
2011,10,18,3600,2
2011,10,24,3800,2
2011,10,27,3800,2
2011,11,7,3700,2
2011,11,10,4000,2
2011,11,15,3700,2
2011,11,18,3400,2
2011,11,23,3600,2
2011,11,28,3400,2
2011,12,1,3600,2
2011,12,6,3700,2
2011,12,9,3800,2
2011,12,22,3600,2
2011,12,28,3800,2
2012,1,3,4400,2
2012,1,6,4600,2
2011,1,11,4800,2
2012,1,16,5000,2
2012,1,19,4800,2
2012,1,24,4500,2
2012,1,27,4600,2
2012,2,1,4200,2
2012,2,6,4300,2
2012,2,9,3000,2
2012,2,14,4300,2
2012,2,17,4100,2
2012,2,22,4200,2
2012,2,27,4000,2
2012,3,1,4000,2
2012,3,6,4200,2
2012,3,9,4200,2
2012,3,14,5000,2
2012,3,19,5000,2
2012,3,22,5000,2
2012,3,27,5500,2
2012,3,30,5300,2
2012,4,4,4500,2
2012,4,11,5000,2
2012,4,16,4700,2
2012,4,19,4800,2
2012,4,24,5300,2
2012,4,27,5400,2
2012,5,4,5475,2
2012,5,9,5500,2
2012,5,14,5600,2
2012,5,17,5400,2
2012,5,23,5300,2
2012,5,29,4000,2
2012,6,4,3400,2
2012,6,7,4000,2
2012,6,12,4800,2
2012,6,19,4400,2
2012,6,22,4400,2
2012,6,27,3200,2
2012,7,3,3000,2
2012,7,6,2900,2
2012,7,11,2900,2
2012,7,16,3000,2
2012,7,19,2700,2
2012,7,25,3500,2
2012,7,30,3200,2
2012,8,2,3000,2
2012,8,7,3000,2
2012,8,10,3700,2
2012,8,15,3600,2
2012,8,21,3300,2
2012,8,24,3100,2
2012,8,29,3400,2
2012,9,3,3500,2
2015,10,27,3000,2
2016,1,13,2000,2
2016,1,29,1900,2
2016,2,5,2100,2
2016,2,11,1900,2
2016,2,16,1900,2
2016,3,1,2400,2
2016,3,4,2300,2
2016,3,15,2400,2
2016,3,18,2400,2
2016,3,24,2300,2
2016,3,31,2500,2
2016,4,5,2300,2
2016,4,8,2500,2
2016,4,13,2800,2
2016,4,28,2700,2
2016,5,5,3000,2
2016,5,10,2800,2
2016,5,13,2800,2
2016,5,18,2700,2
2016,5,24,2800,2
2016,5,30,3000,2
2016,6,7,2600,2
2016,6,10,2600,2
2016,6,15,2600,2
2016,6,21,2600,2
2016,7,1,2100,2
2016,7,11,2400,2
2016,7,15,2200,2
2016,7,27,2200,2
2016,8,22,2800,2
2016,8,26,2600,2
2016,9,5,2800,2
2016,9,13,2700,2
2016,9,27,2800,2
2016,10,10,2800,2
2016,10,13,2800,2
2016,10,21,2800,2
2016,10,28,3000,2
2016,11,3,2900,2
2016,11,18,2600,2
2016,11,25,2600,2
2016,12,7,2500,2
2016,12,13,2700,2
2017,1,20,3000,2
2017,2,1,2900,2
2017,2,15,2800,2
2017,2,21,2800,2
2017,2,28,2800,2
2017,3,15,3000,2
2017,3,24,2800,2
2017,3,31,3000,2
2017,4,20,3000,2
2017,4,27,3800,2
2017,6,20,2600,2
2017,6,23,2500,2
2017,6,29,2100,2
2017,7,4,2000,2
2017,7,19,1700,2
2017,7,27,1500,2
2017,8,1,1600,2
2017,8,4,1600,2
2017,8,14,1700,2
2017,8,29,1800,2
2017,9,1,1500,2
2017,9,7,1800,2
2017,9,29,2000,2
2017,10,5,1800,2
2017,10,10,1800,2
2017,10,16,1800,2
